audience,bias,message,source,author_position,author_state,author_gender,author_party,bias_neutral,bias_partisan,text_length
0,partisan,policy,twitter,Representative,Florida,M,Republican,0,1,93
0,partisan,attack,twitter,Senator,Kentucky,M,Republican,0,1,85
0,neutral,support,twitter,Representative,Oregon,M,Democrat,1,0,136
0,neutral,policy,twitter,Senator,Idaho,M,Republican,1,0,124
0,partisan,policy,twitter,Senator,Colorado,M,Democrat,0,1,143
0,partisan,information,twitter,Senator,North Dakota,F,Democrat,0,1,123
0,neutral,mobilization,twitter,Representative,Florida,F,Democrat,1,0,134
1,neutral,mobilization,twitter,Representative,Arizona,M,Democrat,1,0,139
0,neutral,personal,twitter,Representative,Tennessee,M,Republican,1,0,145
0,partisan,support,twitter,Representative,Maryland,M,Democrat,0,1,139
0,partisan,policy,twitter,Representative,Louisiana,M,Republican,0,1,148
0,partisan,attack,twitter,Representative,Illinois,M,Republican,0,1,114
0,neutral,policy,twitter,Senator,Delaware,M,Democrat,1,0,139
0,neutral,information,twitter,Representative,Mississippi,M,Republican,1,0,139
1,neutral,personal,twitter,Representative,Michigan,M,Democrat,1,0,56
0,partisan,policy,twitter,Senator,New York,F,Democrat,0,1,140
0,neutral,personal,twitter,Senator,New Jersey,M,Democrat,1,0,135
0,neutral,support,twitter,Representative,Connecticut,F,Democrat,1,0,128
0,neutral,support,twitter,Representative,Virginia,M,Republican,1,0,79
0,partisan,support,twitter,Representative,New York,M,Democrat,0,1,144
0,neutral,support,twitter,Senator,Idaho,M,Republican,1,0,111
0,neutral,other,twitter,Senator,Utah,M,Republican,1,0,128
0,neutral,policy,twitter,Representative,Massachusetts,M,Democrat,1,0,121
0,neutral,policy,twitter,Representative,Michigan,M,Republican,1,0,136
1,neutral,constituency,twitter,Representative,Texas,M,Republican,1,0,128
0,partisan,support,twitter,Senator,West Virginia,M,Democrat,0,1,137
0,neutral,personal,twitter,Representative,Arkansas,M,Republican,1,0,96
0,partisan,attack,twitter,Representative,Illinois,M,Republican,0,1,97
0,partisan,policy,twitter,Senator,Pennsylvania,M,Democrat,0,1,141
0,neutral,information,twitter,Representative,Montana,M,Republican,1,0,125
0,partisan,attack,twitter,Representative,Louisiana,M,Republican,0,1,82
0,partisan,policy,twitter,Representative,Georgia,M,Republican,0,1,121
0,partisan,information,twitter,Representative,Michigan,M,Democrat,0,1,140
0,partisan,personal,twitter,Senator,Kentucky,M,Republican,0,1,143
1,neutral,personal,twitter,Representative,New York,M,Republican,1,0,117
0,neutral,information,twitter,Representative,Alabama,F,Republican,1,0,88
0,neutral,policy,twitter,Representative,Maryland,M,Democrat,1,0,98
1,partisan,policy,twitter,Senator,South Carolina,M,Republican,0,1,117
1,neutral,media,twitter,Representative,Nebraska,M,Republican,1,0,144
0,neutral,support,twitter,Representative,New York,M,Democrat,1,0,139
1,partisan,policy,twitter,Representative,Florida,F,Democrat,0,1,137
0,neutral,mobilization,twitter,Representative,Oregon,M,Democrat,1,0,144
1,neutral,support,twitter,Representative,Florida,M,Republican,1,0,90
0,neutral,media,twitter,Senator,Arizona,M,Republican,1,0,79
0,partisan,policy,twitter,Representative,Wisconsin,M,Democrat,0,1,135
0,partisan,policy,twitter,Senator,Iowa,M,Democrat,0,1,137
1,neutral,constituency,twitter,Representative,New York,M,Democrat,1,0,129
0,neutral,information,twitter,Representative,Maryland,M,Democrat,1,0,130
0,neutral,personal,twitter,Senator,New Jersey,M,Democrat,1,0,140
0,neutral,information,twitter,Representative,Pennsylvania,M,Democrat,1,0,142
0,neutral,support,twitter,Senator,North Dakota,F,Democrat,1,0,139
0,partisan,policy,twitter,Senator,Massachusetts,M,Democrat,0,1,143
0,partisan,policy,twitter,Senator,Kentucky,M,Republican,0,1,105
0,neutral,policy,twitter,Representative,Florida,M,Democrat,1,0,109
0,neutral,personal,twitter,Representative,Colorado,M,Republican,1,0,45
0,partisan,attack,twitter,Representative,Florida,F,Republican,0,1,142
0,neutral,policy,twitter,Representative,California,M,Democrat,1,0,134
0,neutral,information,twitter,Representative,California,M,Democrat,1,0,102
1,neutral,support,twitter,Representative,Colorado,M,Republican,1,0,135
0,neutral,personal,twitter,Senator,Arizona,M,Republican,1,0,134
0,partisan,policy,twitter,Representative,Texas,M,Republican,0,1,140
1,neutral,information,twitter,Representative,Arizona,F,Democrat,1,0,133
0,partisan,policy,twitter,Representative,California,M,Republican,0,1,94
0,neutral,support,twitter,Representative,Virginia,M,Republican,1,0,143
0,neutral,media,twitter,Representative,Virginia,M,Republican,1,0,86
0,neutral,information,twitter,Representative,Missouri,M,Democrat,1,0,142
0,partisan,attack,twitter,Representative,Georgia,M,Republican,0,1,140
0,partisan,personal,twitter,Representative,Florida,M,Republican,0,1,89
0,neutral,personal,twitter,Representative,New York,M,Democrat,1,0,104
0,partisan,attack,twitter,Senator,Missouri,M,Republican,0,1,101
0,partisan,policy,twitter,Senator,Vermont,M,Independent,0,1,120
0,neutral,information,twitter,Representative,New York,F,Democrat,1,0,75
